name,code,cur,prev
"Чистий дохід від реалізації продукції (товарів, робіт, послуг)",2000,22506,32847
"Собівартість реалізованої продукції (товарів, робіт, послуг)",2050,14639,20828
Валовий:,2090,7867,12019
збиток,2095,,
Інші операційні доходи,2120,6257,2100
Адміністративні витрати,2130,7329,7768
Витрати на збут,2150,875,1667
Інші операційні витрати,2180,5125,2474
Фінансовий результат від операційної діяльності:,2190,795,2210
збиток,2195,,
Дохід від участі в капіталі,2200,,
Інші фінансові доходи,2220,,
Інші доходи,2240,,
Фінансові витрати,2250,,
Втрати від участі в капіталі,2255,,
Інші витрати,2270,,
Фінансовий результат до оподаткування:,2290,795,2193
збиток,2295,,
Витрати (дохід) з податку на прибуток,2300,-102,-398
Прибуток (збиток) від припиненої діяльності після оподаткування,2305,,
Чистий фінансовий результат:,2350,693,1795
збиток,2355,,
Дооцінка (уцінка) необоротних активів,2400,,
Дооцінка (уцінка) фінансових інструментів,2405,,
Накопичені курсові різниці,2410,,
Частка іншого сукупного доходу асоційованих та спільних підприємств,2415,,
Інший сукупний дохід,2445,,
Інший сукупний дохід до оподаткування,2450,,
"Податок на прибуток, пов’язаний з іншим сукупним доходом",2455,,
Інший сукупний дохід після оподаткування,2460,,
"Сукупний дохід (сума рядків 2350, 2355 та 2460)",2465,693,1795
Матеріальні затрати,2500,15143,20137
Витрати на оплату праці,2505,8837,8719
Відрахування на соціальні заходи,2510,1845,3230
Амортизація,2515,894,909
Інші операційні витрати,2520,7035,4301
Разом,2550,33754,37296
